ticker,company,gics_sector,start_date,end_date,delist_note
# ---------------------------------------------------------------------------
# POINT IN TIME S&P 600 + S&P 400 MEMBERSHIP STORE  (schema, read by universe.py)
# ---------------------------------------------------------------------------
# One row per (ticker, membership interval). A ticker that left and re entered
# an index has multiple rows.
#
#   ticker       yfinance normalized symbol (BRK.B -> BRK-B)
#   company      issuer name
#   gics_sector  GICS sector at time of membership (sector neutral grouping key)
#   start_date   first date the name was an index member (YYYY-MM-DD)
#   end_date     last date of membership; BLANK = still a member
#   delist_note  why it left: "delisted", "acquired", "promoted", "relegated",
#                "" if still a member. Names that left via "delisted" are the
#                survivorship cases backtest.py must carry to terminal value
#                (see diagnostics/survivorship_assert.py).
#
# is_member(ticker, date) := any row with start_date <= date <= (end_date or +inf)
#
# The universe is the UNION of the S&P 600 (SmallCap) and the S&P 400 (MidCap),
# so names that graduated out of the 600 up into the 400 are still scored and
# still match in the portfolio overlay.
#
# This file ships EMPTY of real rows. universe.py seeds it from current
# Wikipedia membership (600 + 400) on first run and warns LOUDLY that a current
# only snapshot is survivorship biased. Replace with a true point in time export
# from S&P Global / CRSP for a clean backtest. The two example rows below are
# commented out and exist only to document the format.
LIVN,LivaNova,Health Care,2026-07-04,,
LNTH,Lantheus Holdings,Health Care,2026-07-04,,
LOPE,Grand Canyon Education,Consumer Discretionary,2026-07-04,,
LPX,Louisiana-Pacific,Industrials,2026-07-04,,
LSCC,Lattice Semiconductor,Information Technology,2026-07-04,,
LSTR,Landstar System,Industrials,2026-07-04,,
M,Macy's,Consumer Discretionary,2026-07-04,,
MANH,Manhattan Associates,Information Technology,2026-07-04,,
MAT,Mattel,Consumer Discretionary,2026-07-04,,
MEDP,Medpace,Health Care,2026-07-04,,
MIDD,Middleby,Industrials,2026-07-04,,
MKSI,MKS Instruments,Information Technology,2026-07-04,,
MLI,Mueller Industries,Industrials,2026-07-04,,
MMS,Maximus Inc.,Industrials,2026-07-04,,
MOG-A,Moog Inc.,Industrials,2026-07-04,,
MORN,"Morningstar, Inc.",Financials,2026-07-04,,
MP,MP Materials,Materials,2026-07-04,,
MSA,MSA Safety,Industrials,2026-07-04,,
MSM,MSC Industrial Direct,Industrials,2026-07-04,,
MTDR,Matador Resources,Energy,2026-07-04,,
MTG,MGIC Investment Corporation,Financials,2026-07-04,,
MTN,Vail Resorts,Consumer Discretionary,2026-07-04,,
MTSI,MACOM Technology Solutions,Information Technology,2026-07-04,,
MTZ,MasTec,Industrials,2026-07-04,,
MUR,Murphy Oil,Energy,2026-07-04,,
MUSA,Murphy USA,Consumer Discretionary,2026-07-04,,
MZTI,The Marzetti Company,Consumer Staples,2026-07-04,,
NBIX,Neurocrine Biosciences,Health Care,2026-07-04,,
NEU,NewMarket Corporation,Materials,2026-07-04,,
NFG,National Fuel Gas,Utilities,2026-07-04,,
NJR,New Jersey Resources,Utilities,2026-07-04,,
NLY,Annaly Capital Management,Financials,2026-07-04,,
NNN,NNN Reit,Real Estate,2026-07-04,,
NOV,NOV Inc.,Energy,2026-07-04,,
NOVT,Novanta,Information Technology,2026-07-04,,
NSA,National Storage Affiliates Trust,Real Estate,2026-07-04,,
NTNX,Nutanix,Information Technology,2026-07-04,,
NVST,Envista Holdings,Health Care,2026-07-04,,
NVT,nVent Electric plc,Industrials,2026-07-04,,
NWE,NorthWestern Energy,Utilities,2026-07-04,,
NXST,Nexstar Media Group,Communication Services,2026-07-04,,
NXT,Nextpower,Industrials,2026-07-04,,
NYT,New York Times Company,Communication Services,2026-07-04,,
OC,Owens Corning,Industrials,2026-07-04,,
OGE,OGE Energy,Utilities,2026-07-04,,
OGS,One Gas,Utilities,2026-07-04,,
OHI,Omega Healthcare Investors,Real Estate,2026-07-04,,
OKTA,"Okta, Inc.",Information Technology,2026-07-04,,
OLED,Universal Display,Information Technology,2026-07-04,,
OLLI,Ollie's Bargain Outlet,Consumer Discretionary,2026-07-04,,
OLN,Olin Corporation,Materials,2026-07-04,,
ONB,Old National Bank,Financials,2026-07-04,,
ONTO,Onto Innovation,Information Technology,2026-07-04,,
OPCH,Option Care Health,Health Care,2026-07-04,,
ORA,Ormat Technologies,Utilities,2026-07-04,,
ORI,Old Republic International,Financials,2026-07-04,,
OSK,Oshkosh,Industrials,2026-07-04,,
OVV,Ovintiv,Energy,2026-07-04,,
OZK,Bank OZK,Financials,2026-07-04,,
P,Everpure,Information Technology,2026-07-04,,
PAG,Penske Automotive Group,Consumer Discretionary,2026-07-04,,
PATH,UiPath,Information Technology,2026-07-04,,
PB,Prosperity Bancshares,Financials,2026-07-04,,
PBF,PBF Energy,Energy,2026-07-04,,
PCTY,Paylocity,Industrials,2026-07-04,,
PEGA,Pegasystems,Information Technology,2026-07-04,,
PEN,"Penumbra, Inc.",Health Care,2026-07-04,,
PFGC,Performance Food Group,Consumer Staples,2026-07-04,,
PII,Polaris,Consumer Discretionary,2026-07-04,,
PINS,Pinterest,Communication Services,2026-07-04,,
PK,Park Hotels & Resorts,Real Estate,2026-07-04,,
PLNT,Planet Fitness,Consumer Discretionary,2026-07-04,,
PNFP,Pinnacle Financial Partners,Financials,2026-07-04,,
POR,Portland General Electric,Utilities,2026-07-04,,
POST,Post Holdings,Consumer Staples,2026-07-04,,
PPC,Pilgrim's Pride,Consumer Staples,2026-07-04,,
PR,Permian Resources,Energy,2026-07-04,,
PRI,Primerica,Financials,2026-07-04,,
PSN,Parsons Corporation,Industrials,2026-07-04,,
PVH,PVH Corp.,Consumer Discretionary,2026-07-04,,
QLYS,Qualys,Information Technology,2026-07-04,,
R,Ryder,Industrials,2026-07-04,,
RBA,RB Global,Industrials,2026-07-04,,
RBC,RBC Bearings,Industrials,2026-07-04,,
REXR,Rexford Industrial Realty,Real Estate,2026-07-04,,
RGA,Reinsurance Group of America,Financials,2026-07-04,,
RGEN,Repligen,Health Care,2026-07-04,,
RGLD,Royal Gold,Materials,2026-07-04,,
RH,RH,Consumer Discretionary,2026-07-04,,
RLI,RLI Corp.,Financials,2026-07-04,,
RMBS,Rambus,Information Technology,2026-07-04,,
RNR,RenaissanceRe,Financials,2026-07-04,,
ROIV,Roivant Sciences,Health Care,2026-07-04,,
ROKU,"Roku, Inc.",Communication Services,2026-07-04,,
RPM,RPM International,Materials,2026-07-04,,
RRC,Range Resources,Energy,2026-07-04,,
RRX,Regal Rexnord,Industrials,2026-07-04,,
RS,"Reliance, Inc.",Materials,2026-07-04,,
RYAN,Ryan Specialty,Financials,2026-07-04,,
RYN,Rayonier,Real Estate,2026-07-04,,
SAIA,Saia,Industrials,2026-07-04,,
SAIC,Science Applications Intl Corp,Industrials,2026-07-04,,
SAM,Boston Beer Company,Consumer Staples,2026-07-04,,
SARO,StandardAero,Industrials,2026-07-04,,
SBRA,Sabra Health Care REIT,Real Estate,2026-07-04,,
SCI,Service Corp Intl,Consumer Discretionary,2026-07-04,,
SEIC,SEI Investments Company,Financials,2026-07-04,,
SF,Stifel,Financials,2026-07-04,,
SFM,Sprouts Farmers Market,Consumer Staples,2026-07-04,,
SGI,Somnigroup International,Consumer Discretionary,2026-07-04,,
SHC,Sotera Health,Health Care,2026-07-04,,
SIGI,Selective Insurance Group,Financials,2026-07-04,,
SIRI,SiriusXM,Communication Services,2026-07-04,,
SITM,SiTime,Information Technology,2026-07-04,,
SLAB,Silicon Labs,Information Technology,2026-07-04,,
SLGN,Silgan Holdings,Materials,2026-07-04,,
SLM,SLM Corp,Financials,2026-07-04,,
SMG,Scotts Miracle-Gro Company,Materials,2026-07-04,,
SN,SharkNinja,Consumer Discretionary,2026-07-04,,
SNX,TD Synnex,Information Technology,2026-07-04,,
SOLS,Solstice Advanced Materials,Materials,2026-07-04,,
SON,Sonoco,Materials,2026-07-04,,
SPXC,SPX Technologies,Industrials,2026-07-04,,
SR,Spire,Utilities,2026-07-04,,
SSB,South State Bank,Financials,2026-07-04,,
SSD,Simpson Manufacturing,Industrials,2026-07-04,,
ST,Sensata Technologies,Industrials,2026-07-04,,
STAG,STAG Industrial,Real Estate,2026-07-04,,
STRL,Sterling Infrastructure,Industrials,2026-07-04,,
STWD,Starwood Property Trust,Financials,2026-07-04,,
SWX,Southwest Gas Corp,Utilities,2026-07-04,,
SYNA,Synaptics,Information Technology,2026-07-04,,
TCBI,Texas Capital Bancshares,Financials,2026-07-04,,
TEX,Terex,Industrials,2026-07-04,,
THC,Tenet Health,Health Care,2026-07-04,,
THG,Hanover Insurance,Financials,2026-07-04,,
THO,Thor Industries,Consumer Discretionary,2026-07-04,,
TKR,Timken,Industrials,2026-07-04,,
TLN,Talen Energy,Utilities,2026-07-04,,
TMHC,Taylor Morrison,Consumer Discretionary,2026-07-04,,
TNL,Travel + Leisure Co.,Consumer Discretionary,2026-07-04,,
TOL,Toll Brothers,Consumer Discretionary,2026-07-04,,
TREX,Trex,Industrials,2026-07-04,,
TRU,TransUnion,Industrials,2026-07-04,,
TTC,Toro,Industrials,2026-07-04,,
TTEK,Tetra Tech,Industrials,2026-07-04,,
TTMI,TTM Technologies,Information Technology,2026-07-04,,
TWLO,Twilio,Information Technology,2026-07-04,,
TXNM,TXNM Energy,Utilities,2026-07-04,,
TXRH,Texas Roadhouse,Consumer Discretionary,2026-07-04,,
UBSI,United Bankshares,Financials,2026-07-04,,
UFPI,UFP Industries,Industrials,2026-07-04,,
UGI,UGI Corp,Utilities,2026-07-04,,
ULS,UL Solutions,Industrials,2026-07-04,,
UMBF,UMB Financial Corp.,Financials,2026-07-04,,
UNM,Unum,Financials,2026-07-04,,
USFD,US Foods,Consumer Staples,2026-07-04,,
UTHR,United Therapeutics,Health Care,2026-07-04,,
VAL,Valaris,Energy,2026-07-04,,
VC,Visteon,Consumer Discretionary,2026-07-04,,
VFC,VF Corporation,Consumer Discretionary,2026-07-04,,
VICR,Vicor Corporation,Industrials,2026-07-04,,
VLY,Valley Bank,Financials,2026-07-04,,
VMI,Valmont Industries,Industrials,2026-07-04,,
VNO,Vornado Realty Trust,Real Estate,2026-07-04,,
VNOM,Viper Energy,Energy,2026-07-04,,
VNT,Vontier,Information Technology,2026-07-04,,
VOYA,Voya Financial,Financials,2026-07-04,,
VVV,Valvoline,Consumer Discretionary,2026-07-04,,
WAL,Western Alliance Bancorporation,Financials,2026-07-04,,
WBS,Webster Bank,Financials,2026-07-04,,
WCC,WESCO International,Industrials,2026-07-04,,
WEX,WEX Inc.,Financials,2026-07-04,,
WFRD,Weatherford International,Energy,2026-07-04,,
WH,Wyndham Hotels & Resorts,Consumer Discretionary,2026-07-04,,
WHR,Whirlpool Corporation,Consumer Discretionary,2026-07-04,,
WING,Wingstop,Consumer Discretionary,2026-07-04,,
WLK,Westlake Corporation,Materials,2026-07-04,,
WMG,Warner Music Group,Communication Services,2026-07-04,,
WMS,Advanced Drainage Systems,Industrials,2026-07-04,,
WPC,W. P. Carey,Real Estate,2026-07-04,,
WSO,Watsco,Industrials,2026-07-04,,
WTFC,Wintrust Financial,Financials,2026-07-04,,
WTRG,Essential Utilities,Utilities,2026-07-04,,
WTS,Watts Water Technologies,Industrials,2026-07-04,,
WWD,"Woodward, Inc.",Industrials,2026-07-04,,
XPO,"XPO, Inc.",Industrials,2026-07-04,,
XRAY,Dentsply Sirona,Health Care,2026-07-04,,
YETI,Yeti Holdings,Consumer Discretionary,2026-07-04,,
ZION,Zions Bancorporation,Financials,2026-07-04,,
